"Table with row headers in columns A and B, and column headers in rows 5 through 6 and rows 62 through 63.",,,,,,,,,,,,,,,
"Table 10. Reasons For Not Voting, By Selected Characteristics: November 2020",,,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Selected characteristics,,Total not voting1 ,Percent distribution of reasons for not voting,,,,,,,,,,,,
,,,Out of town,Forgot to vote,Concerns about the coronavirus (COVID-19) pandemic,Illness or disability,Not interested,"Too busy, conflicting schedule",Transportation problems,Did not like candidates or campaign issues,Registration problems,Bad weather conditions,Inconvenient polling place,Other reason,Don't know or refused
TOTAL, ,"12,810",6.1,3.7,4.3,13.0,17.6,13.1,2.4,14.5,4.9,0.1,2.6,14.5,3.2
Age,18 to 24 years,"2,017",8.8,5.7,2.3,4.5,19.2,18.4,3.0,11.0,4.9,-,2.5,15.7,4.0
,25 to 44 years,"5,350",5.8,3.6,3.8,5.8,19.8,16.3,1.4,16.7,5.8,-,3.4,14.4,3.2
,45 to 64 years,"3,364",6.3,3.2,4.1,15.8,16.7,11.7,3.0,15.3,4.6,0.1,2.0,14.3,3.0
,65 years and over,"2,079",3.8,2.8,8.1,35.2,11.7,2.1,3.3,11.2,3.1,0.2,1.8,14.0,2.6
Sex,Male,"6,375",7.0,3.5,3.4,9.7,20.1,14.2,2.2,14.6,5.2,0.1,2.6,14.5,2.9
,Female,"6,434",5.1,3.9,5.2,16.3,15.1,12.1,2.6,14.5,4.6,0.1,2.6,14.5,3.5
Race and Hispanic origin,White alone,"9,926",6.3,3.5,4.3,12.7,17.8,12.8,1.9,15.9,4.9,0.1,2.6,14.1,3.1
,White non-Hispanic alone,"8,056",6.4,3.3,4.3,13.2,17.6,12.0,2.1,16.1,4.7,-,2.4,14.5,3.4
,Black alone,"1,800",4.7,5.0,3.4,14.0,18.1,10.5,5.8,10.2,4.6,-,3.4,16.0,4.4
,Asian alone,441,8.5,0.5,9.3,12.8,11.9,24.8,-,6.1,9.1,-,1.1,15.4,0.4
,Hispanic (of any race),"2,096",6.9,4.1,4.5,10.2,17.9,16.7,1.0,15.8,5.0,0.2,3.1,12.9,1.7
,White alone or in combination,"10,261",6.3,3.6,4.2,12.7,17.8,13.2,1.8,15.7,4.8,0.1,2.6,14.1,3.1
,Black alone or in combination,"1,949",4.7,5.3,3.1,14.2,17.5,11.8,5.4,10.1,4.6,-,3.5,15.5,4.4
,Asian alone or in combination,515,8.6,3.0,9.0,10.9,13.3,22.7,-,6.4,7.8,-,1.1,16.8,0.3
Educational attainment,Less than high school graduate,"1,503",4.5,3.7,5.5,24.1,16.3,10.9,5.8,5.9,3.1,0.3,2.5,14.4,2.9
,High school graduate,"5,036",5.6,3.6,3.9,13.1,19.0,13.3,2.1,14.0,4.4,-,2.8,14.6,3.7
