"Table with row headers in column A, and column headers in rows 5 through 6.",,,,,,,,,,,,,,
"Table 4c.  Reported Voting and Registration, by Age, for States: November 2020",,,,,,,,,,,,,,
(In thousands),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
STATE,Age,Total population,Total citizen population,Registered,,,,,Voted,,,,,
,,,,Total registered,"Percent registered
(Total)",Margin of error 1,"Percent registered
(Citizen)",Margin of error 1,Total voted,"Percent voted
(Total)",Margin of error 1,"Percent voted
(Citizen)",Margin of error 1,
US,Total,"252,274","231,593","168,308",66.7,0.4,72.7,0.4,"154,628",61.3,0.4,66.8,0.4,
,18 to 24,"28,659","26,737","15,984",55.8,1.1,59.8,1.1,"13,752",48.0,1.1,51.4,1.2,
,25 to 34,"44,871","39,962","27,351",61.0,0.9,68.4,0.9,"24,091",53.7,0.9,60.3,0.9,
,35 to 44,"41,558","35,977","25,852",62.2,0.9,71.9,0.9,"23,421",56.4,0.9,65.1,1.0,
,45 to 64,"81,912","75,590","57,226",69.9,0.6,75.7,0.6,"53,646",65.5,0.6,71.0,0.6,
,65+,"55,273","53,326","41,895",75.8,0.7,78.6,0.7,"39,718",71.9,0.7,74.5,0.7,
ALABAMA,Total,"3,769","3,716","2,527",67.0,3.1,68.0,3.1,"2,247",59.6,3.3,60.5,3.3,
,18 to 24,431,427,218,50.6,9.8,51.1,9.8,194,44.9,9.7,45.4,9.8,
,25 to 34,599,587,376,62.8,8.0,64.2,8.1,315,52.6,8.3,53.7,8.4,
,35 to 44,626,608,415,66.3,7.7,68.2,7.7,365,58.3,8.0,60.0,8.1,
,45 to 64,"1,261","1,246",900,71.4,5.2,72.2,5.2,824,65.4,5.4,66.2,5.5,
,65+,852,848,618,72.5,6.2,72.9,6.2,549,64.5,6.7,64.8,6.7,
ALASKA,Total,528,516,383,72.6,3.2,74.2,3.1,330,62.4,3.4,63.8,3.4,
,18 to 24,60,59,38,B,B,B,B,29,B,B,B,B,
,25 to 34,97,94,59,60.7,8.0,63.1,8.1,41,41.9,8.1,43.6,8.3,
,35 to 44,102,99,74,72.5,7.2,75.1,7.1,62,60.5,7.8,62.6,7.9,
,45 to 64,177,174,141,79.8,4.9,80.9,4.8,131,73.9,5.4,75.0,5.3,
,65+,92,91,71,77.0,7.1,77.7,7.1,67,73.0,7.5,73.6,7.5,
ARIZONA,Total,"5,638","5,075","3,878",68.8,2.5,76.4,2.5,"3,649",64.7,2.6,71.9,2.6,
,18 to 24,653,629,371,56.7,8.0,59.0,8.1,327,50.1,8.1,52.0,8.2,
,25 to 34,941,850,619,65.8,6.4,72.9,6.3,579,61.6,6.5,68.2,6.6,
,35 to 44,929,756,565,60.8,6.6,74.6,6.5,509,54.8,6.7,67.3,7.0,
,45 to 64,"1,833","1,627","1,301",70.9,4.4,79.9,4.1,"1,242",67.8,4.5,76.4,4.3,
,65+,"1,282","1,213","1,023",79.8,4.6,84.4,4.3,992,77.4,4.8,81.8,4.6,
ARKANSAS,Total,"2,283","2,195","1,361",59.6,3.4,62.0,3.4,"1,186",51.9,3.4,54.0,3.5,
,18 to 24,263,261,127,48.3,10.1,48.7,10.1,84,32.1,9.4,32.3,9.5,
,25 to 34,420,389,217,51.7,8.0,55.8,8.2,176,41.8,7.9,45.1,8.2,
,35 to 44,341,319,201,58.8,8.7,63.0,8.8,179,52.6,8.8,56.3,9.1,
,45 to 64,706,680,446,63.2,5.9,65.7,6.0,401,56.8,6.1,59.0,6.2,
,65+,553,547,370,66.9,6.5,67.7,6.5,346,62.5,6.7,63.2,6.7,
CALIFORNIA,Total,"30,342","25,946","18,001",59.3,1.2,69.4,1.2,"16,893",55.7,1.2,65.1,1.2,
,18 to 24,"3,685","3,334","1,974",53.6,3.4,59.2,3.5,"1,786",48.5,3.4,53.6,3.6,
,25 to 34,"5,953","4,957","3,261",54.8,2.7,65.8,2.8,"2,976",50.0,2.7,60.0,2.9,
,35 to 44,"5,090","4,016","2,759",54.2,2.9,68.7,3.0,"2,554",50.2,2.9,63.6,3.1,
,45 to 64,"9,499","7,973","5,820",61.3,2.1,73.0,2.0,"5,534",58.3,2.1,69.4,2.1,
,65+,"6,117","5,666","4,187",68.4,2.4,73.9,2.4,"4,044",66.1,2.5,71.4,2.5,
COLORADO,Total,"4,525","4,200","2,993",66.2,2.9,71.3,2.9,"2,837",62.7,3.0,67.6,3.0,
,18 to 24,528,481,293,55.6,9.0,60.9,9.2,257,48.6,9.0,53.3,9.4,
,25 to 34,996,942,653,65.6,6.2,69.3,6.2,608,61.1,6.4,64.6,6.5,
,35 to 44,717,629,442,61.7,7.5,70.3,7.5,420,58.5,7.6,66.7,7.8,
,45 to 64,"1,432","1,302",956,66.8,5.2,73.4,5.1,922,64.4,5.2,70.8,5.2,
,65+,852,845,648,76.0,6.1,76.7,6.0,631,74.1,6.2,74.7,6.2,
CONNECTICUT,Total,"2,777","2,524","1,850",66.6,3.2,73.3,3.2,"1,681",60.5,3.3,66.6,3.4,
,18 to 24,281,271,163,58.0,10.6,60.1,10.7,141,50.1,10.7,51.9,10.9,
,25 to 34,442,372,259,58.5,8.4,69.5,8.6,225,50.9,8.5,60.5,9.1,
,35 to 44,456,366,245,53.7,8.4,66.9,8.8,228,49.9,8.4,62.2,9.1,
,45 to 64,994,942,726,73.1,5.0,77.1,4.9,660,66.4,5.4,70.0,5.4,
,65+,603,573,457,75.8,6.3,79.8,6.0,428,70.9,6.6,74.7,6.5,
DELAWARE,Total,766,722,542,70.8,3.0,75.1,3.0,489,63.8,3.2,67.7,3.2,
,18 to 24,84,81,54,64.9,9.6,67.2,9.6,43,51.8,10.0,53.6,10.2,
